H264-report: 1019KB rcvd; pkt-loss=0/767,0.00%; bitrate=272Kbps; jitter=2613 (freq=90000Hz) || QOS reported on 2019-05-17 18:23:48.000 
H264-report: 1023KB rcvd; pkt-loss=0/781,0.00%; bitrate=273Kbps; jitter=1048 (freq=90000Hz) || QOS reported on 2019-05-17 18:26:57.000 
H264-report: 882KB rcvd; pkt-loss=0/681,0.00%; bitrate=235Kbps; jitter=484 (freq=90000Hz) || QOS reported on 2019-05-17 18:27:27.000 
H264-report: 1239KB rcvd; pkt-loss=0/944,0.00%; bitrate=330Kbps; jitter=400 (freq=90000Hz) || QOS reported on 2019-05-19 12:50:20.000 
H264-report: 1268KB rcvd; pkt-loss=0/957,0.00%; bitrate=338Kbps; jitter=337 (freq=90000Hz) || QOS reported on 2019-05-19 12:50:50.000 
H264-report: 1276KB rcvd; pkt-loss=0/974,0.00%; bitrate=340Kbps; jitter=70 (freq=90000Hz) || QOS reported on 2019-05-19 13:11:24.000 
H264-report: 1294KB rcvd; pkt-loss=1/986,0.10%; bitrate=345Kbps; jitter=346 (freq=90000Hz) || QOS reported on 2019-05-19 13:11:54.000 
H264-report: 1106KB rcvd; pkt-loss=0/849,0.00%; bitrate=295Kbps; jitter=290 (freq=90000Hz) || QOS reported on 2019-05-19 13:15:49.000 
H264-report: 1117KB rcvd; pkt-loss=0/849,0.00%; bitrate=298Kbps; jitter=262 (freq=90000Hz) || QOS reported on 2019-05-19 13:16:19.000 
H264-report: 204KB rcvd; pkt-loss=0/154,0.00%; bitrate=54Kbps; jitter=250 (freq=90000Hz) || QOS reported on 2019-05-19 13:16:49.000 
H264-report: 0KB rcvd; pkt-loss=0/0,-nan%; bitrate=0Kbps; jitter=250 (freq=90000Hz) || QOS reported on 2019-05-19 13:17:19.000 
H264-report: 0KB rcvd; pkt-loss=0/0,-nan%; bitrate=0Kbps; jitter=250 (freq=90000Hz) || QOS reported on 2019-05-19 13:17:49.000 
H264-report: 0KB rcvd; pkt-loss=0/0,-nan%; bitrate=0Kbps; jitter=250 (freq=90000Hz) || QOS reported on 2019-05-19 13:18:19.000 
H264-report: 0KB rcvd; pkt-loss=0/0,-nan%; bitrate=0Kbps; jitter=250 (freq=90000Hz) || QOS reported on 2019-05-19 13:18:49.000 
H264-report: 0KB rcvd; pkt-loss=0/0,-nan%; bitrate=0Kbps; jitter=250 (freq=90000Hz) || QOS reported on 2019-05-19 13:19:19.000 
H264-report: 0KB rcvd; pkt-loss=0/0,-nan%; bitrate=0Kbps; jitter=250 (freq=90000Hz) || QOS reported on 2019-05-19 13:19:49.000 
H264-report: 0KB rcvd; pkt-loss=0/0,-nan%; bitrate=0Kbps; jitter=250 (freq=90000Hz) || QOS reported on 2019-05-19 13:20:19.000 
H264-report: 0KB rcvd; pkt-loss=0/0,-nan%; bitrate=0Kbps; jitter=250 (freq=90000Hz) || QOS reported on 2019-05-19 13:20:49.000 
H264-report: 942KB rcvd; pkt-loss=0/723,0.00%; bitrate=251Kbps; jitter=354 (freq=90000Hz) || QOS reported on 2019-05-19 13:30:58.000 
H264-report: 934KB rcvd; pkt-loss=0/714,0.00%; bitrate=249Kbps; jitter=191 (freq=90000Hz) || QOS reported on 2019-05-19 13:31:28.000 
H264-report: 148KB rcvd; pkt-loss=0/112,0.00%; bitrate=39Kbps; jitter=219 (freq=90000Hz) || QOS reported on 2019-05-19 13:31:58.000 
H264-report: 0KB rcvd; pkt-loss=0/0,-nan%; bitrate=0Kbps; jitter=219 (freq=90000Hz) || QOS reported on 2019-05-19 13:32:28.000 
H264-report: 0KB rcvd; pkt-loss=0/0,-nan%; bitrate=0Kbps; jitter=219 (freq=90000Hz) || QOS reported on 2019-05-19 13:32:58.000 
H264-report: 0KB rcvd; pkt-loss=0/0,-nan%; bitrate=0Kbps; jitter=219 (freq=90000Hz) || QOS reported on 2019-05-19 13:33:28.000 
H264-report: 0KB rcvd; pkt-loss=0/0,-nan%; bitrate=0Kbps; jitter=219 (freq=90000Hz) || QOS reported on 2019-05-19 13:33:58.000 
H264-report: 0KB rcvd; pkt-loss=0/0,-nan%; bitrate=0Kbps; jitter=219 (freq=90000Hz) || QOS reported on 2019-05-19 13:34:28.000 
H264-report: 0KB rcvd; pkt-loss=0/0,-nan%; bitrate=0Kbps; jitter=219 (freq=90000Hz) || QOS reported on 2019-05-19 13:34:58.000 
H264-report: 0KB rcvd; pkt-loss=0/0,-nan%; bitrate=0Kbps; jitter=219 (freq=90000Hz) || QOS reported on 2019-05-19 13:35:28.000 
H264-report: 0KB rcvd; pkt-loss=0/0,-nan%; bitrate=0Kbps; jitter=219 (freq=90000Hz) || QOS reported on 2019-05-19 13:35:58.000 
